Region,Year,Precipitation
Agadez,1981,81.34130406
Agadez,1982,71.76081384
Agadez,1983,61.35071576
Agadez,1984,40.72833595
Agadez,1985,67.69638363
Agadez,1986,81.91928397
Agadez,1987,59.40425075
Agadez,1988,99.21966566
Agadez,1989,83.57360899
Agadez,1990,54.05780498
Agadez,1991,79.1154454
Agadez,1992,77.83033172
Agadez,1993,63.4772329
Agadez,1994,106.4883719
Agadez,1995,59.28028405
Agadez,1996,57.00613909
Agadez,1997,93.03095787
Agadez,1998,114.0721985
Agadez,1999,119.4386759
Agadez,2000,65.61029755
Agadez,2001,77.58180591
Agadez,2002,81.95987148
Agadez,2003,97.44456016
Agadez,2004,66.39340787
Agadez,2005,76.96696451
Agadez,2006,69.61212181
Agadez,2007,81.6575199
Agadez,2008,75.69143233
Agadez,2009,68.06895733
Agadez,2010,92.92554979
Agadez,2011,74.48463205
Agadez,2012,87.19819558
Agadez,2013,71.94421222
Agadez,2014,63.41031505
Agadez,2015,90.12246573
Agadez,2016,75.64993301
Agadez,2017,69.48884424
Agadez,2018,101.1012754
Agadez,2019,87.48955592
Agadez,2020,95.97680651
Agadez,2021,74.71735764
Diffa,1981,174.7614324
Diffa,1982,184.185739
Diffa,1983,120.0702791
Diffa,1984,83.62266979
Diffa,1985,203.6544245
Diffa,1986,181.7277857
Diffa,1987,129.0224861
Diffa,1988,297.3010418
Diffa,1989,201.031088
Diffa,1990,170.1141224
Diffa,1991,240.4531474
Diffa,1992,213.5341347
Diffa,1993,201.9058012
Diffa,1994,317.9498067
Diffa,1995,217.8259425
Diffa,1996,175.6038365
Diffa,1997,178.3368187
Diffa,1998,237.3843764
Diffa,1999,290.4627408
Diffa,2000,164.1274687
Diffa,2001,187.3256625
Diffa,2002,188.0293929
Diffa,2003,279.1092679
Diffa,2004,173.3715319
Diffa,2005,230.678212
Diffa,2006,206.427527
Diffa,2007,271.45318
Diffa,2008,200.8402665
Diffa,2009,148.8582229
Diffa,2010,215.8807018
Diffa,2011,211.7057124
Diffa,2012,340.6835978
Diffa,2013,225.2824435
Diffa,2014,199.1584321
Diffa,2015,214.935793
Diffa,2016,277.6170458
Diffa,2017,208.619829
Diffa,2018,291.5942735
Diffa,2019,316.9366518
Diffa,2020,277.0885479
Diffa,2021,258.6942127
Dosso,1981,597.0514319
Dosso,1982,479.5226032
Dosso,1983,483.9491777
Dosso,1984,355.5301218
Dosso,1985,522.2151387
Dosso,1986,584.4898864
Dosso,1987,464.1374377
Dosso,1988,648.2385715
Dosso,1989,574.7427671
Dosso,1990,514.6173616
Dosso,1991,617.1393118
Dosso,1992,619.8830206
Dosso,1993,486.4475672
Dosso,1994,787.017826
Dosso,1995,527.6369023
Dosso,1996,557.7657987
Dosso,1997,500.6918017
Dosso,1998,631.2651217
Dosso,1999,683.0929863
Dosso,2000,544.7266468
Dosso,2001,564.9693649
Dosso,2002,614.96214
Dosso,2003,639.2684848
Dosso,2004,534.9359695
Dosso,2005,610.0708118
Dosso,2006,599.2909283
Dosso,2007,607.140581
Dosso,2008,585.5934091
Dosso,2009,515.56634
Dosso,2010,650.8875253
Dosso,2011,468.5449311
Dosso,2012,614.0801926
Dosso,2013,535.5982363
Dosso,2014,558.7104958
Dosso,2015,561.283906
Dosso,2016,544.0023239
Dosso,2017,559.8831758
Dosso,2018,684.7241002
Dosso,2019,597.7245154
Dosso,2020,805.0057433
Dosso,2021,561.0981278
Maradi,1981,373.6539152
Maradi,1982,326.1006658
Maradi,1983,318.5552059
Maradi,1984,199.5471416
Maradi,1985,323.2933904
Maradi,1986,418.7941763
Maradi,1987,268.5340455
Maradi,1988,436.0394084
Maradi,1989,429.9637684
Maradi,1990,342.7410554
Maradi,1991,422.3670473
Maradi,1992,383.6244792
Maradi,1993,293.3561721
Maradi,1994,507.3400991
Maradi,1995,385.2225748
Maradi,1996,353.2610679
Maradi,1997,373.1976062
Maradi,1998,472.9323283
Maradi,1999,549.5679408
Maradi,2000,397.961656
Maradi,2001,534.5985511
Maradi,2002,430.3611187
Maradi,2003,523.5497073
Maradi,2004,411.0197747
Maradi,2005,462.4469012
Maradi,2006,480.2659658
Maradi,2007,393.8074811
Maradi,2008,407.4655948
Maradi,2009,319.453898
Maradi,2010,515.0203971
Maradi,2011,410.7911365
Maradi,2012,474.0212896
Maradi,2013,424.11206
Maradi,2014,413.3315031
Maradi,2015,397.7926774
Maradi,2016,393.0782462
Maradi,2017,356.0962588
Maradi,2018,511.3554364
Maradi,2019,452.7636071
Maradi,2020,548.1266805
Maradi,2021,430.3227959
Niamey,1981,491.4510687
Niamey,1982,372.0590962
Niamey,1983,485.6644618
Niamey,1984,284.5541764
Niamey,1985,379.432382
Niamey,1986,394.0053525
Niamey,1987,378.6440717
Niamey,1988,526.3131011
Niamey,1989,528.0763862
Niamey,1990,456.6230685
Niamey,1991,503.0632962
Niamey,1992,532.835082
Niamey,1993,437.72682
Niamey,1994,622.4351511
Niamey,1995,519.1162868
Niamey,1996,493.4087691
Niamey,1997,361.0959365
Niamey,1998,833.6302891
Niamey,1999,607.1980056
Niamey,2000,470.2852387
Niamey,2001,499.1769265
Niamey,2002,472.9715674
Niamey,2003,507.3600659
Niamey,2004,459.0778582
Niamey,2005,579.867832
Niamey,2006,442.7664318
Niamey,2007,546.6062408
Niamey,2008,476.7922548
Niamey,2009,456.7748369
Niamey,2010,577.1994587
Niamey,2011,347.5146505
Niamey,2012,607.1271268
Niamey,2013,525.806167
Niamey,2014,494.0918838
Niamey,2015,525.0346546
Niamey,2016,538.8053789
Niamey,2017,593.0689459
Niamey,2018,592.602207
Niamey,2019,519.629749
Niamey,2020,675.5839333
Niamey,2021,509.7307352
Tahoua,1981,333.8167948
Tahoua,1982,274.4427549
Tahoua,1983,282.5885398
Tahoua,1984,176.153934
Tahoua,1985,285.5800154
Tahoua,1986,326.124214
Tahoua,1987,272.7664783
Tahoua,1988,400.8575206
Tahoua,1989,386.5513642
Tahoua,1990,289.9294647
Tahoua,1991,414.6488731
Tahoua,1992,326.483433
Tahoua,1993,255.2794703
Tahoua,1994,490.2151735
Tahoua,1995,307.6222165
Tahoua,1996,301.2173161
Tahoua,1997,285.7194165
Tahoua,1998,408.912345
Tahoua,1999,463.4079535
Tahoua,2000,303.4355982
Tahoua,2001,368.6724484
Tahoua,2002,345.42208
Tahoua,2003,383.9867884
Tahoua,2004,336.8389496
Tahoua,2005,381.7641984
Tahoua,2006,387.2698022
Tahoua,2007,354.9832473
Tahoua,2008,376.9930581
Tahoua,2009,276.7017594
Tahoua,2010,396.0599078
Tahoua,2011,304.9593672
Tahoua,2012,382.0491763
Tahoua,2013,307.7950193
Tahoua,2014,359.8194053
Tahoua,2015,341.5434738
Tahoua,2016,345.6604929
Tahoua,2017,299.629052
Tahoua,2018,422.5249221
Tahoua,2019,342.6626048
Tahoua,2020,479.2496488
Tahoua,2021,344.7996924
Tillabéri,1981,397.5287818
Tillabéri,1982,328.65449
Tillabéri,1983,341.2774343
Tillabéri,1984,229.1232662
Tillabéri,1985,320.4618972
Tillabéri,1986,358.3525194
Tillabéri,1987,295.662481
Tillabéri,1988,456.7060638
Tillabéri,1989,418.8978998
Tillabéri,1990,342.1838782
Tillabéri,1991,407.7498408
Tillabéri,1992,416.4850533
Tillabéri,1993,342.4343133
Tillabéri,1994,531.6246162
Tillabéri,1995,402.7266621
Tillabéri,1996,367.2285201
Tillabéri,1997,318.8574892
Tillabéri,1998,485.1677717
Tillabéri,1999,497.5943778
Tillabéri,2000,378.3678158
Tillabéri,2001,417.535417
Tillabéri,2002,400.840574
Tillabéri,2003,461.6850018
Tillabéri,2004,374.2183807
Tillabéri,2005,466.158639
Tillabéri,2006,367.9280704
Tillabéri,2007,430.2843946
Tillabéri,2008,398.9418463
Tillabéri,2009,361.1146029
Tillabéri,2010,430.4646487
Tillabéri,2011,324.5225273
Tillabéri,2012,485.3269088
Tillabéri,2013,421.1421855
Tillabéri,2014,398.9901163
Tillabéri,2015,441.2468681
Tillabéri,2016,433.9819034
Tillabéri,2017,419.3760086
Tillabéri,2018,460.4627578
Tillabéri,2019,409.8220335
Tillabéri,2020,561.0005785
Tillabéri,2021,385.8394222
Zinder,1981,292.0677696
Zinder,1982,285.7781495
Zinder,1983,258.3077161
Zinder,1984,158.0627297
Zinder,1985,282.2107375
Zinder,1986,312.097355
Zinder,1987,207.2968988
Zinder,1988,377.1701661
Zinder,1989,318.9635916
Zinder,1990,260.9379672
Zinder,1991,334.3971897
Zinder,1992,331.1116798
Zinder,1993,295.7782403
Zinder,1994,420.3042214
Zinder,1995,313.6630384
Zinder,1996,275.0525816
Zinder,1997,313.9905331
Zinder,1998,391.5565583
Zinder,1999,407.922573
Zinder,2000,298.3010804
Zinder,2001,396.2760975
Zinder,2002,369.7519732
Zinder,2003,442.9387198
Zinder,2004,338.475068
Zinder,2005,377.3898721
Zinder,2006,347.1435312
Zinder,2007,288.1938362
Zinder,2008,377.4157342
Zinder,2009,258.2530077
Zinder,2010,395.0678448
Zinder,2011,339.8492829
Zinder,2012,451.9722172
Zinder,2013,347.1894639
Zinder,2014,314.8173704
Zinder,2015,335.5801996
Zinder,2016,314.8442309
Zinder,2017,300.3750486
Zinder,2018,409.5799025
Zinder,2019,422.4387569
Zinder,2020,411.2941728
Zinder,2021,373.6883273
