"","departement_name","arisque_part_15","arisque_part_17","moderate_part_15","moderate_part_17","severe_part_15","severe_part_17"
"1","Abala",37.4,49.6,11,13,4.4,0.1
"2","Abalak",32.1,34.3,15.8,9.4,4.5,0.6
"3","Aderbissinat",0.7,13.2,0,7.6,0,0
"4","Aguie",37.2,31.1,12.2,3.1,1.8,1.2
"5","Arlit",22.9,19.1,4.1,6.9,0.4,0
"6","Ayerou",15.4,29.9,14.9,4.8,0.8,0.3
"7","Bagaroua",34.4,28.7,20.9,43.6,4.9,9.2
"8","Balleyara",51.2,33.5,16.4,21.8,6.8,10.9
"9","Banibangou",28.1,45.2,34.4,19.8,12.4,7.5
"10","Bankilare",37.7,3.8,0.5,0.5,0,0.4
"11","Belbedji",17.6,27.3,7.1,8,0,0.6
"12","Bermo",12,12.1,5.2,6,0.5,5.1
"13","Bilma",20.7,27.1,2.1,17,0,2.3
"14","Birni N'Konni",12.8,29.9,17.9,14.1,1.1,0.8
"15","Boboye",37.2,25.9,12.2,20.2,0.2,1.5
"16","Bosso",32.7,NA,13.3,NA,0.5,NA
"17","Bouza",45.4,39.1,16.1,15.6,3.1,1.8
"18","Dakoro",23.4,33.6,9,12.9,0.6,1
"19","Damagaram Takaya",30.9,50.6,14.9,12.6,3.9,0.9
"20","Diffa",15.8,42.6,17.4,20.7,2.5,11.8
"21","Dioundiou",34.2,19.7,10.3,6.5,1,0.5
"22","Dogondoutchi",25.9,47,12.2,17.5,0,1.1
"23","Dosso",33.7,41.5,1.7,4.5,0,0.8
"24","Dungass",43.8,38.8,6.1,23.9,0.2,8.8
"25","Falmey",40.7,28.3,16,23.4,7.8,9.6
"26","Filingue",33.5,38.3,18.8,4.8,6.8,0.1
"27","Gaya",39.7,21.1,12.1,20.9,0.6,0
"28","Gazaoua",22.8,36.2,17.8,9.1,6.6,2.6
"29","Gotheye",49.3,29,21.8,22.7,5.2,0.5
"30","Goudoumaria",28.9,35.5,19,32,2.7,8.3
"31","Goure",12.8,32.1,19.8,14.9,5.9,4.1
"32","Guidan-Roumdji",33.9,38.6,13.9,15.1,1.6,3.4
"33","Iferouane",29.9,32.4,24.1,3.4,1.1,0
"34","Illela",27.5,38.1,16.2,14,3,2.4
"35","Ingall",8.7,13.1,8.1,4.8,1.9,1.4
"36","Kantche",31.5,28.6,11,10.4,2.1,2.5
"37","Keita",40.9,38.1,17.7,24.5,3,16.7
"38","Kollo",40.2,27.3,11.5,7.7,2.8,0.5
"39","Loga",59.5,27.4,10.6,5.7,1.2,0.3
"40","Madaoua",27.1,33.7,13.7,10.9,0.01,1.4
"41","Madarounfa",26.1,26.5,9.4,6,3.6,1.3
"42","Magaria",44.1,30.5,20,7.9,0.7,1.7
"43","Maine-Soroa",12,21.2,9.9,5.6,2.6,0.3
"44","Malbaza",41.8,41.7,8.6,16.3,0,2.3
"45","Mayahi",35.6,36.4,11.1,13.2,6.4,1.4
"46","Mirriah",33.5,26.4,14.1,3.7,2.6,1.4
"47","N'Gourti",0.6,16,0.5,16.1,0,0
"48","N'Guigmi",23.8,25.4,9.4,20.6,0.5,5.9
"49","Ouallam",43.2,40.9,26,14.7,9,2.8
"50","Say",25.8,20.3,5.5,6.3,0,1.1
"51","Tahoua",55.5,36.3,9.9,20.8,4.6,8.8
"52","Takeita",40.6,21.8,8.5,7.3,0.8,0
"53","Tanout",47.1,33.3,18,6.9,0.2,0
"54","Tassara",14.2,33.4,1.2,13.1,0.6,3.9
"55","Tchintabaraden",19.1,29.1,8.6,17.6,1.9,4.9
"56","Tchirozerine",34,26.1,11.2,9.8,0.4,0.8
"57","Tera",32.6,28.7,19.6,4.6,0.8,0.5
"58","Tesker",14.9,7.9,8.8,0.5,19.5,0
"59","Tessaoua",22.5,27.7,13.6,5.8,3.5,7.3
"60","Tibiri (Doutchi)",39.4,33,10.2,7.3,0.5,0
"61","Tillaberi",27.9,38.1,7.9,11.3,0,1.6
"62","Tillia",28.6,29.9,27.6,8.3,8.1,6.9
"63","Torodi",20.9,7.3,4.8,0,0.7,0
"64","Ville de Maradi",30,32.55,11.65,10.55,2.6,2.35
"65","Ville de Niamey",20.2,35.3,14.6,20.3,2.5,4.5
"66","Ville de Tahoua",55.5,36.3,9.9,20.8,4.6,8.8
"67","Ville de Zinder",37.05,24.1,11.3,5.5,1.7,0.7
